Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.19583,0.142126,0.0355817,100000,2.06413
BL,0.195946,0.14319,0.0349535,100000,2.03472
BL,0.196337,0.142806,0.0354675,100000,2.07102
BL,0.19673,0.142251,0.0360957,84172,1.68144
BL,0.196999,0.140106,0.0376949,100000,2.00831
BL,0.198098,0.143274,0.0363242,82474,1.70348
BL,0.196427,0.143671,0.0349535,72139,1.47133
BL,0.199559,0.146976,0.0348392,100000,2.02727
BL,0.196835,0.139769,0.0378091,73983,1.50353
BL,0.199176,0.143403,0.0369524,91674,1.91668
BL_Optimizado,0.196874,0.144204,0.0348963,74624,0.131417
BL_Optimizado,0.195946,0.14319,0.0349535,100000,0.17003
BL_Optimizado,0.196337,0.142806,0.0354675,100000,0.170419
BL_Optimizado,0.19673,0.142251,0.0360957,84172,0.147299
BL_Optimizado,0.197,0.140106,0.0376949,100000,0.171532
BL_Optimizado,0.198099,0.143274,0.0363242,82474,0.141901
BL_Optimizado,0.196427,0.143671,0.0349535,72139,0.125275
BL_Optimizado,0.199559,0.146976,0.0348392,100000,0.169823
BL_Optimizado,0.196835,0.139769,0.0378091,73983,0.129227
BL_Optimizado,0.199176,0.143403,0.0369524,91674,0.15608
Extra,0.199258,0.145554,0.0355817,100000,0.167272
Extra,0.197798,0.13987,0.0383803,100000,0.168292
Extra,0.199743,0.142935,0.0376378,100000,0.170884
Extra,0.202178,0.146836,0.0366669,100000,0.168752
Extra,0.198452,0.142679,0.0369524,100000,0.1739
Extra,0.199765,0.14563,0.0358673,100000,0.171365
Extra,0.199292,0.145761,0.0354675,100000,0.167611
Extra,0.197333,0.14044,0.0376949,100000,0.168948
Extra,0.1982,0.142859,0.0366669,100000,0.168315
Extra,0.197834,0.141544,0.0372951,100000,0.168699
Greedy,0.267852,0.24725,0.0136501,11,0.00645167
Greedy,0.27063,0.250114,0.013593,10,0.00593696
Greedy,0.271648,0.251735,0.0131932,20,0.011683
Greedy,0.271597,0.251254,0.0134788,10,0.00592068
Greedy,0.269757,0.250792,0.012565,14,0.00821199
Greedy,0.269693,0.249091,0.0136501,10,0.00591942
Greedy,0.270543,0.251148,0.0128505,15,0.00880517
Greedy,0.268156,0.250053,0.0119938,20,0.0116547
Greedy,0.269235,0.250874,0.0121652,13,0.00781824
Greedy,0.270674,0.251106,0.0129648,16,0.00951441
Random,0.333778,0.248265,0.0566566,100000,2.54445
Random,0.332917,0.249129,0.0555143,100000,2.53604
Random,0.33383,0.245128,0.0587698,100000,2.53004
Random,0.333782,0.249131,0.0560854,100000,2.51549
Random,0.334111,0.249633,0.0559712,100000,2.54263
Random,0.333861,0.250073,0.0555143,100000,2.56536
Random,0.333771,0.247052,0.0574562,100000,2.52411
Random,0.333932,0.249799,0.0557428,100000,2.51533
Random,0.334346,0.248833,0.0566566,100000,2.51962
Random,0.33386,0.24559,0.0584842,100000,2.5245
