Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.46962,0.283775,0.0871525,18678,0.167707
BL,0.470188,0.281779,0.0883546,18974,0.168513
BL,0.466118,0.285399,0.0847483,17212,0.153087
BL,0.471765,0.288163,0.0861007,13560,0.120854
BL,0.471143,0.290745,0.084598,27662,0.24341
BL,0.464196,0.27803,0.0873028,22799,0.203784
BL,0.468824,0.282018,0.0876033,15456,0.157969
BL,0.466392,0.285994,0.084598,16464,0.161135
BL,0.467108,0.281583,0.0870023,15242,0.139934
BL,0.461032,0.28544,0.0823441,30043,0.266428
BL_Optimizado,0.469621,0.283775,0.0871525,18678,0.0308071
BL_Optimizado,0.470188,0.281779,0.0883546,18974,0.0309117
BL_Optimizado,0.466118,0.285399,0.0847483,17212,0.0283277
BL_Optimizado,0.471765,0.288163,0.0861007,13560,0.0230729
BL_Optimizado,0.471143,0.290745,0.084598,27662,0.0441699
BL_Optimizado,0.464195,0.27803,0.0873028,22799,0.0369503
BL_Optimizado,0.468824,0.282018,0.0876033,15456,0.0254075
BL_Optimizado,0.466393,0.285994,0.084598,16464,0.0270646
BL_Optimizado,0.467108,0.281583,0.0870023,15242,0.0253323
BL_Optimizado,0.461032,0.28544,0.0823441,30043,0.0480484
Extra,0.463771,0.295228,0.0790383,100000,0.158946
Extra,0.45597,0.283582,0.0808415,100000,0.158261
Extra,0.465587,0.291598,0.0815928,100000,0.15909
Extra,0.457972,0.285264,0.0809917,100000,0.15752
Extra,0.458702,0.286955,0.0805409,100000,0.157843
Extra,0.45735,0.280156,0.0830954,100000,0.159389
Extra,0.456862,0.289601,0.0784373,100000,0.156903
Extra,0.456872,0.279037,0.0833959,100000,0.156382
Extra,0.460295,0.287587,0.0809917,100000,0.156173
Extra,0.459705,0.294366,0.0775357,100000,0.156274
Greedy,0.564031,0.432017,0.0619083,8,0.000971949
Greedy,0.57313,0.434066,0.0652141,8,0.000970481
Greedy,0.574237,0.438377,0.0637115,9,0.00110084
Greedy,0.574695,0.438515,0.0638618,11,0.0012971
Greedy,0.56587,0.43674,0.060556,17,0.00198409
Greedy,0.570335,0.435116,0.063411,10,0.00119309
Greedy,0.562483,0.430789,0.0617581,11,0.00132932
Greedy,0.565822,0.434768,0.0614576,9,0.00108252
Greedy,0.56276,0.43427,0.0602554,10,0.00119128
Greedy,0.565492,0.432196,0.0625094,12,0.00142186
Random,0.699511,0.430355,0.126221,100000,1.1586
Random,0.693907,0.411294,0.132532,100000,1.15759
Random,0.698445,0.411025,0.134786,100000,1.16418
Random,0.695131,0.427898,0.125319,100000,1.15989
Random,0.693898,0.417052,0.129827,100000,1.16707
Random,0.689337,0.402878,0.134335,100000,1.1647
Random,0.697931,0.429737,0.12577,100000,1.16035
Random,0.692194,0.429447,0.123216,100000,1.15973
Random,0.700149,0.411128,0.135537,100000,1.16021
Random,0.698856,0.420728,0.130428,100000,1.17053
