Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,1.19657,0.877008,0.086774,4935,0.0190967
BL,1.21482,0.923599,0.0790763,7724,0.0295371
BL,1.13715,0.773771,0.0986704,8938,0.0334339
BL,1.19832,0.904523,0.0797761,5437,0.0205082
BL,1.20381,0.861051,0.0930721,4647,0.0176658
BL,1.24775,0.925609,0.0874738,5810,0.0219033
BL,1.18418,0.851725,0.0902729,7104,0.0267979
BL,1.19191,0.851731,0.0923723,5362,0.0203938
BL,1.18441,0.851959,0.0902729,6884,0.025988
BL,1.15623,0.839239,0.0860742,9766,0.0360555
BL_Optimizado,1.19657,0.877008,0.086774,4935,0.0053212
BL_Optimizado,1.21482,0.923599,0.0790763,7724,0.00811123
BL_Optimizado,1.13715,0.773771,0.0986704,8938,0.00938992
BL_Optimizado,1.19832,0.904523,0.0797761,5437,0.00587482
BL_Optimizado,1.20381,0.861051,0.0930721,4647,0.00500859
BL_Optimizado,1.24775,0.925609,0.0874738,5810,0.00625103
BL_Optimizado,1.18418,0.851725,0.0902729,7104,0.00752332
BL_Optimizado,1.19191,0.851731,0.0923723,5362,0.00580126
BL_Optimizado,1.18441,0.851959,0.0902729,6884,0.00726292
BL_Optimizado,1.15623,0.839239,0.0860742,9766,0.0103824
Extra,1.13784,0.76931,0.10007,100000,0.104358
Extra,1.17169,0.84439,0.0888733,100000,0.103089
Extra,1.13784,0.76931,0.10007,100000,0.104468
Extra,1.17169,0.84439,0.0888733,100000,0.103205
Extra,1.14994,0.799448,0.0951714,100000,0.105706
Extra,1.14634,0.752035,0.107068,100000,0.104152
Extra,1.14341,0.787766,0.096571,100000,0.108838
Extra,1.19228,0.834059,0.0972708,100000,0.103283
Extra,1.171,0.792156,0.102869,100000,0.104538
Extra,1.20189,0.92871,0.0741777,100000,0.102437
Greedy,1.76995,1.63594,0.0363891,4,0.000140503
Greedy,1.70899,1.58786,0.0328901,9,0.000276163
Greedy,1.77376,1.64233,0.0356893,5,0.000163956
Greedy,1.75721,1.65155,0.0286914,6,0.000211914
Greedy,1.74488,1.62117,0.0335899,5,0.000167468
Greedy,1.75157,1.64333,0.0293912,9,0.000272371
Greedy,1.73021,1.62197,0.0293912,10,0.000299194
Greedy,1.72045,1.6019,0.0321903,6,0.000209176
Greedy,1.78978,1.64804,0.0384885,5,0.000169855
Greedy,1.69567,1.58486,0.030091,5,0.000170767
Random,1.96849,1.5278,0.119664,100000,0.607449
Random,1.96468,1.55492,0.111267,100000,0.606857
Random,1.96256,1.51671,0.121064,100000,0.619295
Random,1.98349,1.58661,0.107768,100000,0.606369
Random,1.98641,1.42201,0.153254,100000,0.605452
Random,1.98415,1.53573,0.121763,100000,0.60487
Random,1.98126,1.55604,0.115465,100000,0.604768
Random,1.97009,1.50363,0.126662,100000,0.604511
Random,1.96085,1.48923,0.128062,100000,0.604841
Random,1.98739,1.52608,0.125262,100000,0.606331
