alg,fitness
Random,0.699511
Random,0.693907
Random,0.698445
Random,0.695131
Random,0.693898
Random,0.689337
Random,0.697931
Random,0.692194
Random,0.700149
Random,0.698856
Greedy,0.564031
Greedy,0.57313
Greedy,0.574237
Greedy,0.574695
Greedy,0.56587
Greedy,0.570335
Greedy,0.562483
Greedy,0.565822
Greedy,0.56276
Greedy,0.565492
BL,0.46962
BL,0.470188
BL,0.466118
BL,0.471765
BL,0.471143
BL,0.464196
BL,0.468824
BL,0.466392
BL,0.467108
BL,0.461032
BL_Optimizado,0.469621
BL_Optimizado,0.470188
BL_Optimizado,0.466118
BL_Optimizado,0.471765
BL_Optimizado,0.471143
BL_Optimizado,0.464195
BL_Optimizado,0.468824
BL_Optimizado,0.466393
BL_Optimizado,0.467108
BL_Optimizado,0.461032
Extra,0.463771
Extra,0.45597
Extra,0.465587
Extra,0.457972
Extra,0.458702
Extra,0.45735
Extra,0.456862
Extra,0.456872
Extra,0.460295
Extra,0.459705
