alg,fitness
BL,0.166539
BL,0.166301
BL,0.176173
BL,0.169215
BL,0.169239
BL,0.166483
BL,0.170989
BL,0.168692
BL,0.167764
BL,0.170318
BL_Optimizado,0.166539
BL_Optimizado,0.166302
BL_Optimizado,0.176172
BL_Optimizado,0.169215
BL_Optimizado,0.169239
BL_Optimizado,0.166483
BL_Optimizado,0.170988
BL_Optimizado,0.168692
BL_Optimizado,0.167764
BL_Optimizado,0.170318
Greedy,0.23621
Greedy,0.243339
Greedy,0.24068
Greedy,0.239582
Greedy,0.241474
Greedy,0.235605
Greedy,0.237675
Greedy,0.239432
Greedy,0.239209
Greedy,0.241295
Random,0.33016
Random,0.329776
Random,0.328748
Random,0.330238
Random,0.329102
Random,0.330441
Random,0.329713
Random,0.32885
Random,0.329695
Random,0.328968
