alg,fitness
BL,0.405818
BL,0.406928
BL,0.405203
BL,0.386668
BL,0.400422
BL,0.393435
BL,0.405809
BL,0.401456
BL,0.392087
BL,0.402741
BL_Optimizado,0.405818
BL_Optimizado,0.406928
BL_Optimizado,0.405203
BL_Optimizado,0.386668
BL_Optimizado,0.400422
BL_Optimizado,0.393435
BL_Optimizado,0.405809
BL_Optimizado,0.401456
BL_Optimizado,0.392087
BL_Optimizado,0.402741
Greedy,0.479939
Greedy,0.492093
Greedy,0.494448
Greedy,0.499903
Greedy,0.49029
Greedy,0.487734
Greedy,0.493386
Greedy,0.496807
Greedy,0.49643
Greedy,0.487274
Random,0.681956
Random,0.68654
Random,0.681283
Random,0.681556
Random,0.67664
Random,0.680795
Random,0.679276
Random,0.685151
Random,0.674169
Random,0.680057
