alg,fitness
BL,1.19657
BL,1.21482
BL,1.13715
BL,1.19832
BL,1.20381
BL,1.24775
BL,1.18418
BL,1.19191
BL,1.18441
BL,1.15623
BL_Optimizado,1.19657
BL_Optimizado,1.21482
BL_Optimizado,1.13715
BL_Optimizado,1.19832
BL_Optimizado,1.20381
BL_Optimizado,1.24775
BL_Optimizado,1.18418
BL_Optimizado,1.19191
BL_Optimizado,1.18441
BL_Optimizado,1.15623
Greedy,1.76995
Greedy,1.70899
Greedy,1.77376
Greedy,1.75721
Greedy,1.74488
Greedy,1.75157
Greedy,1.73021
Greedy,1.72045
Greedy,1.78978
Greedy,1.69567
Random,1.96849
Random,1.96468
Random,1.96256
Random,1.98349
Random,1.98641
Random,1.98415
Random,1.98126
Random,1.97009
Random,1.96085
Random,1.98739
