Algoritmo,Dataset,Fitness,Distancia,Incumplimientos,Tiempo
BL,zoo_15,1.05909,0.902126,0.0426205,0.0308898
BL_Optimizado,zoo_15,1.05909,0.902126,0.0426205,0.010194
Extra,zoo_15,0.979755,0.801165,0.048494,0.173843
Greedy,zoo_15,1.57163,1.55998,0.00316265,0.000230999
Random,zoo_15,1.91813,1.56705,0.0953313,0.851465
BL,zoo_30,1.19151,0.866021,0.0883835,0.025138
BL_Optimizado,zoo_30,1.19151,0.866021,0.0883835,0.00709267
Extra,zoo_30,1.16239,0.812157,0.0951015,0.104407
Greedy,zoo_30,1.74425,1.62389,0.0326802,0.000208137
Random,zoo_30,1.97494,1.52188,0.123023,0.607074
BL,glass_15,0.400057,0.295455,0.0490531,0.108319
BL_Optimizado,glass_15,0.400057,0.295455,0.0490531,0.0281123
Extra,glass_15,0.390032,0.292448,0.0457622,0.15124
Greedy,glass_15,0.49183,0.430062,0.0289662,0.000511446
Random,glass_15,0.680742,0.426322,0.119311,0.881528
BL,glass_30,0.467639,0.284293,0.0859805,0.178282
BL_Optimizado,glass_30,0.467639,0.284293,0.0859805,0.0320092
Extra,glass_30,0.459309,0.287338,0.0806461,0.157678
Greedy,glass_30,0.567885,0.434686,0.0624643,0.00125425
Random,glass_30,0.695936,0.419154,0.129797,1.16228
BL,bupa_15,0.169171,0.142158,0.0178979,1.11841
BL_Optimizado,bupa_15,0.169171,0.142158,0.0178979,0.154951
Extra,bupa_15,0.169978,0.143545,0.0175134,0.162408
Greedy,bupa_15,0.23945,0.238377,0.00071079,0.00351448
Random,bupa_15,0.329569,0.249126,0.0532976,1.75966
BL,bupa_30,0.197194,0.142757,0.0360672,1.84819
BL_Optimizado,bupa_30,0.197298,0.142965,0.0359986,0.1513
Extra,bupa_30,0.198985,0.143411,0.0368211,0.169404
Greedy,bupa_30,0.269979,0.250342,0.0130105,0.00819162
Random,bupa_30,0.333819,0.248263,0.0566851,2.53176
