alg,fitness
BL,1.18758
BL,1.21055
BL,0.748169
BL,1.06207
BL,0.726571
BL,1.19207
BL,1.15192
BL,1.17788
BL,1.19035
BL,1.18264
BL_Optimizado,0.154259
BL_Optimizado,0.152628
BL_Optimizado,0.0991503
BL_Optimizado,0.139294
BL_Optimizado,0.097625
BL_Optimizado,0.155092
BL_Optimizado,0.143423
BL_Optimizado,0.149675
BL_Optimizado,0.155455
BL_Optimizado,0.155231
Greedy,0.00546635
Greedy,0.00279827
Greedy,0.00404473
Greedy,0.0028165
Greedy,0.00342608
Greedy,0.00667573
Greedy,0.00271237
Greedy,0.00274771
Greedy,0.00239689
Greedy,0.00335023
Random,1.74415
Random,1.74111
Random,1.7437
Random,1.74403
Random,1.74003
Random,1.73784
Random,1.74313
Random,1.74434
Random,1.73583
Random,1.73551
