alg,fitness
BL,0.161906
BL,0.164375
BL,0.149161
BL,0.117937
BL,0.239822
BL,0.196139
BL,0.13408
BL,0.142555
BL,0.132051
BL,0.259883
BL_Optimizado,0.0311469
BL_Optimizado,0.0312879
BL_Optimizado,0.0289789
BL_Optimizado,0.0231512
BL_Optimizado,0.0445899
BL_Optimizado,0.0371911
BL_Optimizado,0.0254515
BL_Optimizado,0.027018
BL_Optimizado,0.0254896
BL_Optimizado,0.0488214
Greedy,0.00100676
Greedy,0.000966746
Greedy,0.0010875
Greedy,0.00129842
Greedy,0.00198001
Greedy,0.00119163
Greedy,0.00131002
Greedy,0.00107493
Greedy,0.00119485
Greedy,0.00140186
Random,1.15247
Random,1.14818
Random,1.1503
Random,1.15556
Random,1.15627
Random,1.1542
Random,1.1537
Random,1.15289
Random,1.15389
Random,1.16306
