alg,fitness
BL,0.0248197
BL,0.0353225
BL,0.0273653
BL,0.0325338
BL,0.0416563
BL,0.0482397
BL,0.0194251
BL,0.0284057
BL,0.0286186
BL,0.0225115
BL_Optimizado,0.00663893
BL_Optimizado,0.0117819
BL_Optimizado,0.00943721
BL_Optimizado,0.0108585
BL_Optimizado,0.0141058
BL_Optimizado,0.0157809
BL_Optimizado,0.00631595
BL_Optimizado,0.0095266
BL_Optimizado,0.00963087
BL_Optimizado,0.00786302
Extra,0.173999
Extra,0.172386
Extra,0.173249
Extra,0.175102
Extra,0.174097
Extra,0.17581
Extra,0.179541
Extra,0.172758
Extra,0.17191
Extra,0.169576
Greedy,0.00018604
Greedy,0.000217925
Greedy,0.00020426
Greedy,0.000171877
Greedy,0.000333293
Greedy,0.000248671
Greedy,0.000201627
Greedy,0.000204189
Greedy,0.000232373
Greedy,0.000309736
Random,0.912263
Random,0.907406
Random,0.906485
Random,0.901893
Random,0.901197
Random,0.898225
Random,0.900061
Random,0.897926
Random,0.726467
Random,0.562726
