alg,fitness
Random,1.89629
Random,1.90374
Random,1.94213
Random,1.92903
Random,1.91683
Random,1.91283
Random,1.89805
Random,1.9154
Random,1.95259
Random,1.9144
Greedy,1.54512
Greedy,1.5574
Greedy,1.59785
Greedy,1.53803
Greedy,1.64842
Greedy,1.61653
Greedy,1.56889
Greedy,1.53472
Greedy,1.55225
Greedy,1.55708
BL,1.06117
BL,1.10297
BL,1.0132
BL,1.03571
BL,1.0504
BL,1.02598
BL,1.10005
BL,1.13663
BL,1.0316
BL,1.03315
BL_Optimizado,1.06117
BL_Optimizado,1.10297
BL_Optimizado,1.0132
BL_Optimizado,1.03571
BL_Optimizado,1.0504
BL_Optimizado,1.02598
BL_Optimizado,1.10005
BL_Optimizado,1.13663
BL_Optimizado,1.0316
BL_Optimizado,1.03315
Extra,0.985704
Extra,0.978641
Extra,0.973194
Extra,0.973957
Extra,0.976777
Extra,0.955964
Extra,0.973816
Extra,0.979874
Extra,0.979766
Extra,0.973445
