Run,Iter,Fitness
0,1,0.34636715
0,2,0.26979980
0,3,0.25269240
0,4,0.24995463
0,5,0.25138581
0,6,0.24891563
0,7,0.24913724
0,8,0.24852964
0,9,0.24667735
0,10,0.24784577
0,11,0.24755201
1,1,0.35440704
1,2,0.26783627
1,3,0.25536340
1,4,0.25359660
1,5,0.25234285
1,6,0.25491437
1,7,0.25060362
1,8,0.24958837
1,9,0.25151306
1,10,0.25026107
1,11,0.25102755
1,12,0.24969779
1,13,0.24984309
1,14,0.24900797
1,15,0.24888442
1,16,0.24839289
1,17,0.24917375
1,18,0.24934115
2,1,0.35074395
2,2,0.26549664
2,3,0.25518641
2,4,0.25501597
2,5,0.25117376
2,6,0.25042972
2,7,0.24941097
2,8,0.24889688
2,9,0.25172654
2,10,0.25116742
2,11,0.25104776
3,1,0.34927145
3,2,0.26903030
3,3,0.25948331
3,4,0.25542229
3,5,0.25403556
3,6,0.25395617
3,7,0.25364876
3,8,0.25476643
3,9,0.25233135
3,10,0.25064498
3,11,0.25114915
3,12,0.25165996
3,13,0.25187790
3,14,0.25208792
3,15,0.25079450
3,16,0.25111333
3,17,0.25137162
3,18,0.25110671
4,1,0.34934455
4,2,0.26530856
4,3,0.25445226
4,4,0.25023213
4,5,0.24887827
4,6,0.24974774
4,7,0.24913390
4,8,0.24871960
4,9,0.24859165
5,1,0.35713372
5,2,0.26353887
5,3,0.25314569
5,4,0.25167793
5,5,0.24838099
5,6,0.24584384
5,7,0.24589358
5,8,0.24641123
5,9,0.24414009
5,10,0.24469739
5,11,0.24469297
6,1,0.34760800
6,2,0.26430321
6,3,0.25079852
6,4,0.24947858
6,5,0.24890091
6,6,0.24619783
6,7,0.24523592
6,8,0.24519210
6,9,0.24450964
6,10,0.24440424
6,11,0.24376203
6,12,0.24354853
6,13,0.24192934
6,14,0.24151327
6,15,0.24190338
6,16,0.24105859
6,17,0.24089338
7,1,0.35242486
7,2,0.26570499
7,3,0.25005153
7,4,0.24568065
7,5,0.24415119
7,6,0.24559467
7,7,0.24492618
7,8,0.24668671
7,9,0.24661046
7,10,0.24784343
7,11,0.24768548
7,12,0.24865927
7,13,0.24792571
7,14,0.24763791
8,1,0.34717768
8,2,0.26641896
8,3,0.25407350
8,4,0.25091562
8,5,0.24750082
8,6,0.25005686
8,7,0.24851201
8,8,0.24818280
8,9,0.24768618
8,10,0.24659000
8,11,0.24620390
8,12,0.24681981
8,13,0.24757403
9,1,0.35341927
9,2,0.26761526
9,3,0.25373313
9,4,0.24972706
9,5,0.24942267
9,6,0.24895756
9,7,0.24912919
9,8,0.24834049
9,9,0.24902569
9,10,0.24854399
9,11,0.24932380
9,12,0.24843027
9,13,0.24879168
9,14,0.24991958
9,15,0.25246280
9,16,0.25262159
9,17,0.25240204
9,18,0.25197256
