Run,Iter,Fitness
0,1,0.34901622
0,6,0.34263867
0,49,0.33965689
0,1266,0.33275265
1,1,0.35420290
1,2,0.35054713
1,5,0.34789950
1,9,0.34663236
1,17,0.34318247
1,127,0.34128571
1,225,0.34123924
1,448,0.34099647
1,681,0.33699813
1,23333,0.33225048
2,1,0.35488030
2,2,0.34929597
2,5,0.34921712
2,6,0.34894449
2,8,0.34703305
2,11,0.34320915
2,91,0.34101069
2,475,0.33559141
2,53591,0.33500063
3,1,0.34902173
3,6,0.34696841
3,7,0.34473032
3,37,0.34056044
3,249,0.33793372
3,6858,0.33598477
4,1,0.34573406
4,2,0.34086937
4,360,0.34048206
4,506,0.33766982
4,5344,0.33527666
5,1,0.34932974
5,5,0.34197944
5,64,0.33933291
5,415,0.33919853
5,1703,0.33848307
5,2138,0.33536455
6,1,0.34233648
6,245,0.34171265
6,342,0.34065679
6,819,0.33665696
6,91461,0.33350831
7,1,0.35037991
7,3,0.34753218
7,11,0.34311572
7,15,0.34100738
7,160,0.33769670
7,21689,0.33737305
7,53608,0.33678252
7,62676,0.33281496
8,1,0.35325944
8,2,0.34530476
8,9,0.34127116
8,199,0.34061593
8,410,0.33775061
8,14698,0.33674517
8,55403,0.33658504
9,1,0.34409010
9,14,0.34288231
9,124,0.34114775
9,324,0.34052131
9,725,0.33950707
9,1048,0.33838245
9,1089,0.33695811
