Run,Iter,Fitness
0,1,0.74957466
0,2,0.60777915
0,3,0.58672816
0,4,0.57940644
0,5,0.57568836
0,6,0.57139671
0,7,0.56829756
0,8,0.56869966
0,9,0.56748366
0,10,0.56715196
0,11,0.56705970
0,12,0.56689829
0,13,0.56720698
1,1,0.76039189
1,2,0.60902196
1,3,0.58582300
1,4,0.57326990
1,5,0.56747067
1,6,0.56646651
1,7,0.56620950
1,8,0.56558436
1,9,0.56539357
1,10,0.56589842
1,11,0.56505483
1,12,0.56502455
1,13,0.56374532
2,1,0.74701446
2,2,0.61551994
2,3,0.58882385
2,4,0.58329284
2,5,0.57973516
2,6,0.57780617
2,7,0.57832164
2,8,0.57697678
3,1,0.76715380
3,2,0.61498338
3,3,0.59201330
3,4,0.57785881
3,5,0.57522637
3,6,0.57221603
3,7,0.56928432
3,8,0.56921595
3,9,0.56606710
3,10,0.56563234
3,11,0.56658906
3,12,0.56556404
4,1,0.73586869
4,2,0.60883838
4,3,0.58714837
4,4,0.57797861
4,5,0.57410771
4,6,0.57100648
4,7,0.57073587
4,8,0.56868035
4,9,0.56732404
5,1,0.74728799
5,2,0.60015553
5,3,0.58060956
5,4,0.57353282
5,5,0.57243377
5,6,0.57005554
5,7,0.56650978
5,8,0.56387293
5,9,0.56659395
5,10,0.56625593
5,11,0.56267250
5,12,0.55911964
6,1,0.73040372
6,2,0.60966331
6,3,0.59099537
6,4,0.58187044
6,5,0.57678950
6,6,0.57404155
6,7,0.56899637
6,8,0.56728184
6,9,0.56843030
6,10,0.56752104
7,1,0.73032343
7,2,0.61511111
7,3,0.58272493
7,4,0.57327271
7,5,0.56996769
7,6,0.57030267
7,7,0.56116486
7,8,0.56381303
7,9,0.56161773
7,10,0.56149054
8,1,0.73725092
8,2,0.60011387
8,3,0.58069599
8,4,0.56883985
8,5,0.56629372
8,6,0.56451678
8,7,0.56317967
8,8,0.56373304
9,1,0.73557025
9,2,0.60597926
9,3,0.58495522
9,4,0.57192439
9,5,0.56675738
9,6,0.56831270
9,7,0.56758308
9,8,0.56860495
9,9,0.56787533
9,10,0.56772816
9,11,0.56562585
