Run,Iter,Fitness
0,1,0.72791779
0,16,0.72252208
0,292,0.72136325
0,1842,0.72123206
0,3022,0.70824492
1,1,0.74881721
1,2,0.73483425
1,13,0.73156428
1,21,0.72960711
1,27,0.72925413
1,46,0.72687882
1,75,0.72123355
1,566,0.72087908
1,673,0.72046292
1,1334,0.71296847
1,17163,0.70983315
1,74635,0.70793802
2,1,0.73391563
2,10,0.72728527
2,44,0.72599626
2,599,0.72592843
2,610,0.72518986
2,840,0.72158408
2,2363,0.71841675
2,4110,0.71714669
2,7064,0.71709234
2,7699,0.70566648
3,1,0.75212193
3,2,0.73658210
3,3,0.73432094
3,13,0.73381329
3,18,0.72112882
3,538,0.71956360
3,3606,0.70975393
4,1,0.74138021
4,3,0.74129587
4,4,0.73466843
4,6,0.72301054
4,2182,0.72107339
4,3447,0.71728796
4,3739,0.71647584
4,20634,0.71575820
4,21362,0.71520394
4,24782,0.71300977
5,1,0.74613023
5,4,0.73919749
5,5,0.72567731
5,142,0.72208565
5,657,0.72120506
5,942,0.71916622
5,2217,0.71630752
5,3900,0.71464097
5,7572,0.71115637
6,1,0.74663109
6,3,0.72107875
6,1035,0.71605682
6,7517,0.71285921
6,93047,0.71196425
7,1,0.74460763
7,3,0.73983634
7,6,0.72842789
7,57,0.72474992
7,1018,0.71814406
7,6518,0.71154076
7,39985,0.70962328
8,1,0.73957133
8,3,0.73030943
8,10,0.72555089
8,142,0.72465193
8,711,0.71935284
8,4736,0.71687359
8,8676,0.70994449
9,1,0.73898828
9,3,0.73584998
9,19,0.72875214
9,56,0.72385865
9,246,0.71930903
9,277,0.71719438
9,5157,0.71270084
9,8773,0.71118641
