Run,Iter,Fitness
0,1,2.20090199
0,2,2.17965698
0,4,2.15617704
0,5,2.12473822
0,7,2.12305927
0,10,2.10684967
0,11,2.09282160
0,13,2.08815503
0,16,2.08125067
0,17,2.07331204
0,18,2.06407881
0,20,2.06335735
0,23,2.05812788
0,24,2.04171610
0,25,2.03727055
0,26,2.02928424
0,28,2.01618791
0,31,2.01371312
0,34,2.01132011
0,37,1.99935162
0,42,1.98723316
0,45,1.98651528
0,46,1.97230566
0,58,1.96299589
0,59,1.95332432
0,61,1.94591689
0,70,1.93606961
0,71,1.93177307
0,74,1.92930400
0,83,1.92597365
0,87,1.92132378
0,94,1.91219151
0,95,1.91126752
0,100,1.90005767
0,107,1.89518130
0,108,1.89286196
0,118,1.88994241
0,123,1.87526298
0,126,1.87524009
0,133,1.87268543
0,146,1.86725628
0,150,1.86611664
0,162,1.86570549
0,168,1.84722531
0,169,1.84221852
0,179,1.84140348
0,180,1.82450998
0,184,1.82239044
0,189,1.80466032
0,190,1.79642928
0,192,1.78759277
0,198,1.78734338
0,205,1.76383257
0,206,1.74795461
0,215,1.74554670
0,216,1.73363435
0,220,1.71756935
0,221,1.71339536
0,225,1.70955670
0,228,1.70459139
0,244,1.70288539
0,246,1.67124653
0,247,1.66444933
0,255,1.66374969
0,267,1.66015923
0,276,1.65499175
0,284,1.64861572
0,289,1.64586675
0,296,1.63787520
0,305,1.63517499
0,321,1.62086546
0,322,1.61452115
0,323,1.61412477
0,326,1.58861291
0,327,1.58585453
0,329,1.57269633
0,330,1.56535053
0,336,1.55722272
0,344,1.55128610
0,346,1.54006898
0,353,1.53464723
0,377,1.52669919
0,387,1.52470315
0,393,1.52208042
0,413,1.52094567
0,419,1.51772940
0,438,1.51602840
0,459,1.51041424
0,461,1.50612366
0,487,1.48589897
0,501,1.48044562
0,551,1.47944748
0,557,1.47846556
0,559,1.47031021
0,567,1.46970570
0,582,1.46550870
0,613,1.46513593
0,614,1.46498978
0,618,1.46373487
0,648,1.45891666
0,656,1.45760977
0,665,1.45683813
0,667,1.45129418
0,672,1.44723761
0,681,1.44472253
0,683,1.44066310
0,698,1.41076291
0,730,1.40655363
0,749,1.40519631
0,751,1.40447021
0,754,1.38113177
0,755,1.36873996
0,764,1.36684108
0,766,1.35879838
0,775,1.34651339
0,793,1.34536624
0,807,1.34441423
0,821,1.34323466
0,840,1.33742547
0,861,1.32357645
0,882,1.32016599
0,908,1.30367255
0,914,1.29282951
0,935,1.29255402
0,951,1.27574694
0,970,1.27137756
0,983,1.25339246
0,995,1.25066793
0,1022,1.22184992
0,1028,1.22025323
0,1038,1.21238720
0,1060,1.21083856
0,1075,1.20797479
0,1136,1.19497430
0,1175,1.19450986
0,1213,1.19337809
0,1268,1.18342662
0,1272,1.18149352
0,1276,1.18103647
0,1278,1.17720628
0,1297,1.17686927
