Run,Iter,Fitness
0,1,2.15458727
0,2,2.14224958
0,4,2.13876987
0,5,2.12217665
0,6,2.10558248
0,8,2.10000896
0,9,2.08657980
0,11,2.08527017
0,17,2.08370733
0,18,2.07405710
0,24,2.07002354
0,26,2.06320596
0,29,2.06020188
0,30,2.05609536
0,31,2.05180860
0,32,2.03551078
0,34,2.02338052
0,37,2.00669003
0,38,2.00523019
0,42,1.99589908
0,44,1.99347556
0,45,1.99017835
0,55,1.97162282
0,60,1.96956420
0,65,1.96918213
0,67,1.96522152
0,85,1.95991743
0,86,1.95958126
0,89,1.95902431
0,90,1.95677125
0,91,1.95531905
0,99,1.95180261
0,116,1.95155263
0,119,1.95037496
0,120,1.94231129
0,121,1.93983316
0,127,1.93545675
0,135,1.92966294
0,138,1.92049837
0,141,1.91829669
0,143,1.91473234
0,151,1.91026986
0,154,1.90880728
0,155,1.89796281
0,162,1.89680767
0,163,1.88792884
0,164,1.88044822
0,168,1.88009071
0,170,1.87352395
0,171,1.87107277
0,175,1.86324632
0,180,1.86282659
0,181,1.85781825
0,182,1.84341979
0,187,1.83749533
0,200,1.83315098
0,201,1.82515895
0,214,1.81446242
0,221,1.81338787
0,230,1.81060827
0,234,1.80159700
0,237,1.78361392
0,238,1.74557686
0,247,1.73907554
0,254,1.71737921
0,257,1.71010303
0,264,1.70243371
0,265,1.69900680
0,279,1.69813883
0,280,1.69370854
0,283,1.69225562
0,285,1.68159366
0,294,1.67616975
0,302,1.67333233
0,331,1.67261004
0,335,1.65289497
0,336,1.65008891
0,342,1.64672089
0,354,1.64385521
0,355,1.64204359
0,356,1.63679051
0,383,1.63404524
0,391,1.62963986
0,393,1.62573433
0,394,1.62496877
0,407,1.62442982
0,408,1.62286866
0,410,1.61757958
0,411,1.60744917
0,421,1.59482121
0,426,1.58929324
0,435,1.57576287
0,437,1.57074893
0,471,1.56043780
0,533,1.55814350
0,553,1.55366611
0,557,1.54630506
0,558,1.52937794
0,561,1.52718496
0,565,1.52277458
0,580,1.52164078
0,590,1.51936913
0,593,1.50949275
0,600,1.50028872
0,608,1.48998141
