Run,Iter,Fitness
0,1,1.93937218
0,2,1.93107609
0,5,1.92969112
0,13,1.92496757
0,18,1.91815464
0,19,1.91378360
0,22,1.91362204
0,32,1.90217243
0,41,1.89292697
0,44,1.89041375
0,51,1.88914527
0,54,1.87986540
0,56,1.87931331
0,58,1.87312475
0,61,1.86490546
0,70,1.86314682
0,78,1.86044999
0,79,1.85551076
0,81,1.84426225
0,84,1.83718271
0,100,1.83482982
0,108,1.82963456
0,118,1.82107556
0,140,1.81541346
0,141,1.81320858
0,168,1.79767893
0,170,1.78711578
0,178,1.78566394
0,179,1.78387164
0,183,1.77293143
0,193,1.76639332
0,210,1.76065575
0,212,1.75985510
0,215,1.75900627
0,219,1.75510337
0,235,1.74952728
0,239,1.74382619
0,242,1.73282381
0,245,1.72138889
0,247,1.72016667
0,252,1.70717798
0,267,1.70461247
0,285,1.70254667
0,306,1.70047962
0,310,1.69841679
0,312,1.69502354
0,316,1.69418962
0,325,1.69137390
0,337,1.67629874
0,341,1.65477491
0,351,1.65324409
0,356,1.64179437
0,377,1.63238851
0,379,1.61028288
0,398,1.61000663
0,405,1.58612096
0,413,1.58592096
0,423,1.58588250
0,430,1.58240046
0,437,1.57620311
0,442,1.57485924
0,443,1.57125742
0,457,1.57015348
0,472,1.55824371
0,480,1.55638596
0,486,1.54971324
0,504,1.53312476
0,521,1.53212459
0,524,1.52903913
0,537,1.52665723
0,580,1.52578462
0,585,1.52066487
0,589,1.52010943
0,638,1.50598172
0,651,1.50472849
0,655,1.50340478
0,687,1.50071060
0,733,1.49956737
0,744,1.49273792
0,769,1.48469813
0,790,1.48251408
0,807,1.47270761
0,818,1.47254754
0,819,1.46536826
0,834,1.45726882
0,841,1.44967058
0,847,1.44348885
0,851,1.44220796
0,855,1.43046865
0,894,1.43010886
0,920,1.42624197
0,929,1.42037924
0,957,1.41896571
0,967,1.41221055
0,974,1.39776623
0,986,1.39021840
0,1003,1.38751697
0,1007,1.38392777
0,1051,1.37708102
0,1062,1.37390189
0,1078,1.37202960
0,1085,1.37129077
0,1177,1.36870998
0,1190,1.36862711
0,1229,1.35816389
0,1248,1.35804753
0,1269,1.34957025
0,1278,1.34195113
0,1282,1.33797493
0,1301,1.33716555
0,1318,1.33387701
0,1338,1.33254675
0,1339,1.33051355
0,1340,1.32970177
0,1359,1.32939147
0,1360,1.32553563
0,1400,1.32220163
0,1403,1.32075674
0,1529,1.32006642
0,1544,1.31052279
0,1554,1.30942143
0,1612,1.30444809
0,1634,1.30301296
0,1747,1.30071168
0,1862,1.29874206
0,2034,1.29856115
0,2045,1.29575324
0,2048,1.29369157
0,2070,1.28875507
0,2112,1.28375250
0,2160,1.28211872
0,2161,1.27119683
0,2170,1.27039042
0,2277,1.27022301
0,2312,1.26712722
0,2338,1.26499899
0,2565,1.26475223
0,2749,1.26454624
0,3002,1.26187476
0,3027,1.26138532
0,3110,1.26103812
0,3126,1.25965944
0,3440,1.25781843
0,3478,1.25671131
0,3518,1.25656752
0,3613,1.25414451
0,3631,1.25368474
0,3728,1.25008745
0,3785,1.24973859
0,3803,1.24812664
0,4037,1.24658782
0,4115,1.24488143
0,4306,1.24096870
0,4328,1.23461315
0,4349,1.23334261
0,4359,1.23007313
0,4387,1.21811206
0,4408,1.21507226
0,4429,1.21213661
