Run,Iter,Fitness
0,1,2.15458727
0,2,1.83471036
0,3,1.81151450
0,4,1.78234816
0,5,1.76970124
0,6,1.72809494
0,7,1.72662807
0,8,1.71852040
0,9,1.71474397
1,1,2.11332464
1,2,1.83443809
1,3,1.79875684
1,4,1.78178203
1,5,1.75792539
1,6,1.75633538
1,7,1.75136709
1,8,1.74532402
1,9,1.73735058
1,10,1.73467624
2,1,2.15095401
2,2,1.83486652
2,3,1.78497815
2,4,1.79857492
2,5,1.79273820
3,1,2.17685843
3,2,1.86056912
3,3,1.79690015
3,4,1.77288723
3,5,1.75072122
3,6,1.75176704
3,7,1.75521660
4,1,2.13625884
4,2,1.83285260
4,3,1.77273941
4,4,1.76463461
5,1,2.20928288
5,2,1.87775481
5,3,1.80802155
5,4,1.80938971
5,5,1.78822327
5,6,1.78907394
6,1,2.05684853
6,2,1.81336308
6,3,1.77696109
6,4,1.77160215
6,5,1.74929655
6,6,1.73506081
7,1,2.15123081
7,2,1.79930973
7,3,1.74950731
7,4,1.73614645
7,5,1.73734534
7,6,1.73954999
8,1,2.10457778
8,2,1.80846131
8,3,1.76804042
8,4,1.75358713
8,5,1.74262893
8,6,1.72444010
8,7,1.73608696
8,8,1.71739638
8,9,1.72401321
8,10,1.72303843
8,11,1.71247494
9,1,2.22510910
9,2,1.86602366
9,3,1.80408525
9,4,1.77513421
9,5,1.78550351
9,6,1.77886152
