Run,Iter,Fitness
0,1,2.14961886
0,14,2.10656261
0,100,2.07937860
0,3192,2.06457210
0,4001,2.06425166
0,30467,2.05406976
1,1,2.12888312
1,31,2.10243440
1,251,2.09486723
1,328,2.09444547
1,508,2.07257223
1,5062,2.07140684
1,8201,2.06993580
1,14468,2.06141353
1,27743,2.05510521
1,33021,2.03181815
2,1,2.15456057
2,15,2.15188646
2,21,2.14865756
2,25,2.13739395
2,28,2.12433648
2,49,2.10279274
2,327,2.09277749
2,1230,2.07933426
2,2393,2.04929209
3,1,2.23438978
3,2,2.15108657
3,9,2.14199018
3,13,2.13452697
3,49,2.13034892
3,82,2.10577726
3,338,2.09971380
3,355,2.09212685
3,383,2.07735634
3,690,2.06884909
3,13344,2.06419206
3,16200,2.06030774
4,1,2.14526176
4,8,2.11629057
4,51,2.03751922
5,1,2.17710280
5,4,2.08843875
5,1193,2.08826661
5,3699,2.07342529
5,5135,2.06335258
5,12743,2.04283834
6,1,2.18054152
6,2,2.11813045
6,5,2.05519986
6,13156,2.04673743
7,1,2.16952181
7,2,2.15169501
7,4,2.14551544
7,6,2.11787319
7,40,2.07343936
7,10370,2.07283950
7,23172,2.06663179
7,57315,2.04721284
8,1,2.16419387
8,6,2.14425945
8,7,2.11738706
8,8,2.11273479
8,141,2.10650706
8,934,2.10550213
8,961,2.07507992
8,5635,2.07238436
8,37508,2.06227756
8,52332,2.06126428
9,1,2.13963485
9,7,2.12909913
9,16,2.11954522
9,23,2.09421301
9,995,2.09187675
9,1439,2.05697942
