Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.46962035,0.28377486,0.08715252,18678,0.17096993
BL,0.47018838,0.28177950,0.08835462,18974,0.17299400
BL,0.46611786,0.28539915,0.08474831,17212,0.15656498
BL,0.47176516,0.28816264,0.08610068,13560,0.12403900
BL,0.47114283,0.29074454,0.08459805,27662,0.25173678
BL,0.46419579,0.27802988,0.08730278,22799,0.20954485
BL,0.46882442,0.28201767,0.08760331,15456,0.14204031
BL,0.46639234,0.28599404,0.08459805,16464,0.14970621
BL,0.46710816,0.28158311,0.08700225,15242,0.13821012
BL,0.46103209,0.28544016,0.08234410,30043,0.27048943
BL_Optimizado,0.46962053,0.28377486,0.08715252,18678,0.03276779
BL_Optimizado,0.47018826,0.28177950,0.08835462,18974,0.03320080
BL_Optimizado,0.46611759,0.28539915,0.08474831,17212,0.03032372
BL_Optimizado,0.47176507,0.28816264,0.08610068,13560,0.02581407
BL_Optimizado,0.47114274,0.29074454,0.08459805,27662,0.04680177
BL_Optimizado,0.46419549,0.27802988,0.08730278,22799,0.03929933
BL_Optimizado,0.46882421,0.28201767,0.08760331,15456,0.02714735
BL_Optimizado,0.46639258,0.28599404,0.08459805,16464,0.02892063
BL_Optimizado,0.46710807,0.28158311,0.08700225,15242,0.02729220
BL_Optimizado,0.46103215,0.28544016,0.08234410,30043,0.05207709
Extra,0.46377075,0.29522812,0.07903832,100000,0.17076109
Extra,0.45597008,0.28358239,0.08084147,100000,0.17137557
Extra,0.46558735,0.29159754,0.08159279,100000,0.17081804
Extra,0.45797211,0.28526399,0.08099174,100000,0.16978650
Extra,0.45870209,0.28695522,0.08054095,100000,0.16913673
Extra,0.45735037,0.28015629,0.08309542,100000,0.16987524
Extra,0.45686191,0.28960097,0.07843727,100000,0.16899174
Extra,0.45687237,0.27903750,0.08339594,100000,0.17208865
Extra,0.46029496,0.28758683,0.08099174,100000,0.17190628
Extra,0.45970455,0.29436618,0.07753569,100000,0.17168602
Greedy,0.56720698,0.43423133,0.06235913,13,0.00155603
Greedy,0.56374532,0.43365349,0.06100676,13,0.00157476
Greedy,0.57697678,0.43599055,0.06611570,8,0.00099117
Greedy,0.56556404,0.43226796,0.06250939,12,0.00147721
Greedy,0.56732404,0.42922165,0.06476334,9,0.00111610
Greedy,0.55911964,0.42838694,0.06130729,12,0.00150998
Greedy,0.56752104,0.43454540,0.06235913,10,0.00123042
Greedy,0.56149054,0.42947618,0.06190834,10,0.00123146
Greedy,0.56373304,0.43139825,0.06205860,8,0.00100654
Greedy,0.56562585,0.43265018,0.06235913,11,0.00137296
Random,0.70824492,0.43492391,0.12817431,100000,1.21426878
Random,0.70793802,0.42212046,0.13403456,100000,1.20801445
Random,0.70566648,0.42593699,0.13117956,100000,1.20306206
Random,0.70975393,0.42329554,0.13433509,100000,1.20162034
Random,0.71300977,0.42943520,0.13298272,100000,1.21782803
Random,0.71115637,0.43078602,0.13148009,100000,1.16149778
Random,0.71196425,0.42806923,0.13313298,100000,1.15742255
Random,0.70962328,0.43245719,0.12997746,100000,1.15131464
Random,0.70994449,0.41707762,0.13734035,100000,1.16177255
Random,0.71118641,0.43049565,0.13163035,100000,1.15882781
