Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,1.19657326,0.87700815,0.08677397,4935,0.01874065
BL,1.21481586,0.92359928,0.07907628,7724,0.03011683
BL,1.13714731,0.77377086,0.09867040,8938,0.03403748
BL,1.19831645,0.90452272,0.07977607,5437,0.02071422
BL,1.20381010,0.86105071,0.09307208,4647,0.01792205
BL,1.24775147,0.92560923,0.08747376,5810,0.02210328
BL,1.18417621,0.85172542,0.09027292,7104,0.02689865
BL,1.19191289,0.85173070,0.09237229,5362,0.02054105
BL,1.18440962,0.85195884,0.09027292,6884,0.02598745
BL,1.15622687,0.83923896,0.08607418,9766,0.03647353
BL_Optimizado,1.19657183,0.87700815,0.08677397,4935,0.00569281
BL_Optimizado,1.21481621,0.92359928,0.07907628,7724,0.00835276
BL_Optimizado,1.13714814,0.77377086,0.09867040,8938,0.00975294
BL_Optimizado,1.19831634,0.90452272,0.07977607,5437,0.00604544
BL_Optimizado,1.20380986,0.86105071,0.09307208,4647,0.00512172
BL_Optimizado,1.24775159,0.92560923,0.08747376,5810,0.00640470
BL_Optimizado,1.18417656,0.85172542,0.09027292,7104,0.00792780
BL_Optimizado,1.19191384,0.85173070,0.09237229,5362,0.00611392
BL_Optimizado,1.18440878,0.85195884,0.09027292,6884,0.00742604
BL_Optimizado,1.15622675,0.83923896,0.08607418,9766,0.01077120
Extra,1.13784051,0.76930984,0.10006998,100000,0.10990235
Extra,1.17168641,0.84438988,0.08887334,100000,0.10767881
Extra,1.13784051,0.76930984,0.10006998,100000,0.10943579
Extra,1.17168641,0.84438988,0.08887334,100000,0.10780914
Extra,1.14993834,0.79944762,0.09517145,100000,0.11114294
Extra,1.14633751,0.75203545,0.10706788,100000,0.10903802
Extra,1.14341080,0.78776585,0.09657103,100000,0.10930825
Extra,1.19228125,0.83405915,0.09727082,100000,0.10675105
Extra,1.17099524,0.79215600,0.10286914,100000,0.10922335
Extra,1.20188689,0.92871032,0.07417775,100000,0.10821075
Greedy,1.71474397,1.61423561,0.02729181,9,0.00028973
Greedy,1.73467624,1.62643648,0.02939118,10,0.00030420
Greedy,1.79273820,1.64841848,0.03918824,5,0.00016227
Greedy,1.75521660,1.63151395,0.03358992,7,0.00022083
Greedy,1.76463461,1.63320060,0.03568929,4,0.00013313
Greedy,1.78907394,1.64990855,0.03778866,6,0.00019148
Greedy,1.73506081,1.60104962,0.03638908,6,0.00018945
Greedy,1.73954999,1.62873311,0.03009097,6,0.00020294
Greedy,1.71247494,1.59392659,0.03219034,11,0.00032712
Greedy,1.77886152,1.64227327,0.03708887,6,0.00018714
Random,2.05406976,1.62884194,0.11546536,100000,0.60805976
Random,2.03181815,1.57051045,0.12526242,100000,0.61211063
Random,2.04929209,1.59056154,0.12456263,100000,0.61744842
Random,2.06030774,1.63765709,0.11476557,100000,0.61891777
Random,2.03751922,1.56332591,0.12876137,100000,0.61658956
Random,2.04283834,1.54029635,0.13645906,100000,0.61622642
Random,2.04673743,1.58285261,0.12596221,100000,0.62145741
Random,2.04721284,1.57817379,0.12736179,100000,0.62069559
Random,2.06126428,1.61541936,0.12106368,100000,0.61862742
Random,2.05697942,1.59309453,0.12596221,100000,0.61587910
