alg,fitness
BL,0.16653883
BL,0.16630149
BL,0.17617257
BL,0.16921493
BL,0.16923948
BL,0.16648282
BL,0.17098860
BL,0.16869210
BL,0.16776405
BL,0.17031804
BL_Optimizado,0.16653901
BL_Optimizado,0.16630152
BL_Optimizado,0.17617244
BL_Optimizado,0.16921471
BL_Optimizado,0.16923913
BL_Optimizado,0.16648312
BL_Optimizado,0.17098847
BL_Optimizado,0.16869189
BL_Optimizado,0.16776387
BL_Optimizado,0.17031805
Extra,0.16945896
Extra,0.16752139
Extra,0.16947010
Extra,0.17027363
Extra,0.17469887
Extra,0.16753304
Extra,0.17161259
Extra,0.17096530
Extra,0.16806670
Extra,0.17018217
Greedy,0.24755201
Greedy,0.24934115
Greedy,0.25104776
Greedy,0.25110671
Greedy,0.24859165
Greedy,0.24469297
Greedy,0.24089338
Greedy,0.24763791
Greedy,0.24757403
Greedy,0.25197256
Random,0.33275265
Random,0.33225048
Random,0.33500063
Random,0.33598477
Random,0.33527666
Random,0.33536455
Random,0.33350831
Random,0.33281496
Random,0.33658504
Random,0.33695811
