alg,fitness
BL,0.40581805
BL,0.40692833
BL,0.40520266
BL,0.38666794
BL,0.40042239
BL,0.39343512
BL,0.40580851
BL,0.40145561
BL,0.39208722
BL,0.40274113
BL_Optimizado,0.40581799
BL_Optimizado,0.40692842
BL_Optimizado,0.40520263
BL_Optimizado,0.38666806
BL_Optimizado,0.40042233
BL_Optimizado,0.39343509
BL_Optimizado,0.40580860
BL_Optimizado,0.40145627
BL_Optimizado,0.39208704
BL_Optimizado,0.40274137
Extra,0.38158330
Extra,0.39615169
Extra,0.38604617
Extra,0.39039341
Extra,0.38515562
Extra,0.39074111
Extra,0.39132616
Extra,0.39851588
Extra,0.39091969
Extra,0.38948923
Greedy,0.48086995
Greedy,0.48750436
Greedy,0.48695737
Greedy,0.49087456
Greedy,0.49823853
Greedy,0.48057082
Greedy,0.48861536
Greedy,0.48312968
Greedy,0.49602902
Greedy,0.49577454
Random,0.70078999
Random,0.69980925
Random,0.70275748
Random,0.69804114
Random,0.70093083
Random,0.69608003
Random,0.69634372
Random,0.70032448
Random,0.69788176
Random,0.69566315
