alg,fitness
BL,1.19657326
BL,1.21481586
BL,1.13714731
BL,1.19831645
BL,1.20381010
BL,1.24775147
BL,1.18417621
BL,1.19191289
BL,1.18440962
BL,1.15622687
BL_Optimizado,1.19657183
BL_Optimizado,1.21481621
BL_Optimizado,1.13714814
BL_Optimizado,1.19831634
BL_Optimizado,1.20380986
BL_Optimizado,1.24775159
BL_Optimizado,1.18417656
BL_Optimizado,1.19191384
BL_Optimizado,1.18440878
BL_Optimizado,1.15622675
Extra,1.13784051
Extra,1.17168641
Extra,1.13784051
Extra,1.17168641
Extra,1.14993834
Extra,1.14633751
Extra,1.14341080
Extra,1.19228125
Extra,1.17099524
Extra,1.20188689
Greedy,1.71474397
Greedy,1.73467624
Greedy,1.79273820
Greedy,1.75521660
Greedy,1.76463461
Greedy,1.78907394
Greedy,1.73506081
Greedy,1.73954999
Greedy,1.71247494
Greedy,1.77886152
Random,2.05406976
Random,2.03181815
Random,2.04929209
Random,2.06030774
Random,2.03751922
Random,2.04283834
Random,2.04673743
Random,2.04721284
Random,2.06126428
Random,2.05697942
