Algoritmo,Dataset,Fitness,Distancia,Incumplimientos,Tiempo
BL,zoo_15,1.05909,0.902126,0.0426205,0.0181376
BL_Optimizado,zoo_15,1.05909,0.902126,0.0426205,0.00612365
Extra,zoo_15,0.979755,0.801165,0.048494,0.10601
Greedy,zoo_15,1.61458,1.60238,0.00331325,0.000129871
Random,zoo_15,2.00497,1.60064,0.109789,0.54474
BL,zoo_30,1.19151,0.866021,0.0883835,0.0253535
BL_Optimizado,zoo_30,1.19151,0.866021,0.0883835,0.00736093
Extra,zoo_30,1.16239,0.812157,0.0951015,0.10885
Greedy,zoo_30,1.7517,1.62697,0.0338698,0.000220828
Random,zoo_30,2.0488,1.59007,0.124563,0.616601
BL,glass_15,0.400057,0.295455,0.0490531,0.111934
BL_Optimizado,glass_15,0.400057,0.295455,0.0490531,0.0313686
Extra,glass_15,0.390032,0.292448,0.0457622,0.163707
Greedy,glass_15,0.488856,0.431061,0.0271034,0.000755815
Random,glass_15,0.698862,0.430142,0.126017,0.906931
BL,glass_30,0.467639,0.284293,0.0859805,0.17863
BL_Optimizado,glass_30,0.467639,0.284293,0.0859805,0.0343645
Extra,glass_30,0.459309,0.287338,0.0806461,0.170643
Greedy,glass_30,0.565831,0.432182,0.0626747,0.00130666
Random,glass_30,0.709849,0.42746,0.132427,1.18356
BL,bupa_15,0.169171,0.142158,0.0178979,1.07388
BL_Optimizado,bupa_15,0.169171,0.142158,0.0178979,0.154347
Extra,bupa_15,0.169978,0.143545,0.0175134,0.16793
Greedy,bupa_15,0.248041,0.247074,0.000640876,0.0045094
Random,bupa_15,0.33465,0.250672,0.0556397,1.74974
BL,bupa_30,0.197194,0.142757,0.0360672,1.77904
BL_Optimizado,bupa_30,0.197298,0.142965,0.0359986,0.158932
Extra,bupa_30,0.198985,0.143411,0.0368211,0.176037
Greedy,bupa_30,0.271723,0.251595,0.013336,0.00756546
Random,bupa_30,0.337675,0.248042,0.0593866,2.46805
